Date,Tonnes,Change_Pct
2025-12-23,1064.56,
2025-12-24,1068.27,0.3485
2025-12-26,1071.13,0.2677
2025-12-29,1071.99,0.0803
2025-12-30,1071.99,0.0
2025-12-31,1070.56,-0.1334
2026-01-02,1065.13,-0.5072
2026-01-05,1065.13,0.0
2026-01-06,1067.13,0.1878
2026-01-07,1067.13,0.0
2026-01-08,1067.13,0.0
2026-01-09,1064.56,-0.2408
2026-01-12,1070.8,0.5862
2026-01-13,1074.23,0.3203
2026-01-14,1074.23,0.0
2026-01-15,1074.8,0.0531
2026-01-16,1085.67,1.0114
2026-01-20,1081.66,-0.3694
2026-01-21,1077.66,-0.3698
2026-01-22,1079.66,0.1856
2026-01-23,1086.53,0.6363
2026-01-26,1086.53,0.0
2026-01-27,1087.38,0.0782
